Date,Price
31/08/2023,137.35
30/08/2023,136.93
29/08/2023,135.49
28/08/2023,131.79
25/08/2023,130.69
24/08/2023,130.42
23/08/2023,133.21
22/08/2023,129.69
21/08/2023,128.93
18/08/2023,128.11
17/08/2023,130.46
16/08/2023,129.11
15/08/2023,130.27
14/08/2023,131.83
11/08/2023,130.17
10/08/2023,130.21
09/08/2023,130.15
08/08/2023,131.84
07/08/2023,131.94
04/08/2023,128.54
03/08/2023,128.77
02/08/2023,128.64
01/08/2023,131.89
31/07/2023,133.11
28/07/2023,133.01
27/07/2023,129.87
26/07/2023,129.66
25/07/2023,122.79
24/07/2023,121.88
21/07/2023,120.31
20/07/2023,119.53
19/07/2023,122.78
18/07/2023,124.08
17/07/2023,125.06
14/07/2023,125.7
13/07/2023,124.83
12/07/2023,119.62
11/07/2023,117.71
10/07/2023,116.87
07/07/2023,120.14
06/07/2023,120.93
05/07/2023,122.63
03/07/2023,120.56
30/06/2023,120.97
29/06/2023,120.01
28/06/2023,121.08
27/06/2023,119.01
26/06/2023,119.09
23/06/2023,123.02
22/06/2023,123.87
21/06/2023,121.26
20/06/2023,123.85
16/06/2023,124.06
15/06/2023,125.79
14/06/2023,124.38
13/06/2023,124.43
12/06/2023,124.35
09/06/2023,122.87
08/06/2023,122.67
07/06/2023,122.94
06/06/2023,127.91
05/06/2023,126.63
02/06/2023,125.23
01/06/2023,124.37
31/05/2023,123.37
30/05/2023,124.64
26/05/2023,125.43
25/05/2023,124.35
24/05/2023,121.64
23/05/2023,123.29
22/05/2023,125.87
19/05/2023,123.25
18/05/2023,123.52
17/05/2023,121.48
16/05/2023,120.09
15/05/2023,116.96
12/05/2023,117.92
11/05/2023,116.9
10/05/2023,112.28
09/05/2023,107.94
08/05/2023,108.24
05/05/2023,106.21
04/05/2023,105.21
03/05/2023,106.12
02/05/2023,105.98
01/05/2023,107.71
28/04/2023,108.22
27/04/2023,108.37
26/04/2023,104.45
25/04/2023,104.61
24/04/2023,106.78
21/04/2023,105.91
20/04/2023,105.9
19/04/2023,105.02
18/04/2023,105.12
17/04/2023,106.42
14/04/2023,109.46
13/04/2023,108.19
12/04/2023,105.22
11/04/2023,106.12
10/04/2023,106.95
06/04/2023,108.9
05/04/2023,104.95
04/04/2023,105.12
03/04/2023,104.91
31/03/2023,104
30/03/2023,101.32
29/03/2023,101.9
28/03/2023,101.36
27/03/2023,103.06
24/03/2023,106.06
23/03/2023,106.26
22/03/2023,104.22
21/03/2023,105.84
20/03/2023,101.93
17/03/2023,102.46
16/03/2023,101.07
15/03/2023,96.55
14/03/2023,94.25
13/03/2023,91.66
10/03/2023,91.01
09/03/2023,92.66
08/03/2023,94.65
07/03/2023,94.17
06/03/2023,95.58
03/03/2023,94.02
02/03/2023,92.31
01/03/2023,90.51
28/02/2023,90.3
27/02/2023,90.1
24/02/2023,89.35
23/02/2023,91.07
22/02/2023,91.8
21/02/2023,92.05
17/02/2023,94.59
16/02/2023,95.78
15/02/2023,97.1
14/02/2023,94.95
13/02/2023,95
10/02/2023,94.86
09/02/2023,95.46
08/02/2023,100
07/02/2023,108.04
06/02/2023,103.47
03/02/2023,105.22
02/02/2023,108.8
01/02/2023,101.43
31/01/2023,99.87
30/01/2023,97.95
27/01/2023,100.71
26/01/2023,99.16
25/01/2023,96.73
24/01/2023,99.21
23/01/2023,101.21
20/01/2023,99.28
19/01/2023,93.91
18/01/2023,91.78
17/01/2023,92.16
13/01/2023,92.8
12/01/2023,91.91
11/01/2023,92.26
10/01/2023,89.24
09/01/2023,88.8
06/01/2023,88.16
05/01/2023,86.77
04/01/2023,88.71
03/01/2023,89.7
30/12/2022,88.73
29/12/2022,88.95
28/12/2022,86.46
27/12/2022,87.93
23/12/2022,89.81
22/12/2022,88.26
21/12/2022,90.25
20/12/2022,89.63
19/12/2022,89.15
16/12/2022,90.86
15/12/2022,91.2
14/12/2022,95.31
13/12/2022,95.85
12/12/2022,93.56
09/12/2022,93.07
08/12/2022,93.95
07/12/2022,95.15
06/12/2022,97.31
05/12/2022,99.87
02/12/2022,100.83
01/12/2022,101.28
30/11/2022,101.45
29/11/2022,95.44
28/11/2022,96.25
25/11/2022,97.6
23/11/2022,98.82
22/11/2022,97.33
21/11/2022,95.83
18/11/2022,97.8
17/11/2022,98.5
16/11/2022,98.99
15/11/2022,98.72
14/11/2022,96.03
11/11/2022,96.73
10/11/2022,94.17
09/11/2022,87.4
08/11/2022,88.91
07/11/2022,88.65
04/11/2022,86.7
03/11/2022,83.49
02/11/2022,87.07
01/11/2022,90.5
31/10/2022,94.66
28/10/2022,96.58
27/10/2022,92.6
26/10/2022,94.82
25/10/2022,104.93
24/10/2022,102.97
21/10/2022,101.48
20/10/2022,100.53
19/10/2022,100.29
18/10/2022,101.39
17/10/2022,100.78
14/10/2022,97.18
13/10/2022,99.71
12/10/2022,98.3
11/10/2022,98.05
10/10/2022,98.71
07/10/2022,99.57
06/10/2022,102.24
05/10/2022,102.22
04/10/2022,102.41
03/10/2022,99.3
30/09/2022,96.15
29/09/2022,98.09
28/09/2022,100.74
27/09/2022,98.09
26/09/2022,98.81
23/09/2022,99.17
22/09/2022,100.57
21/09/2022,100.01
20/09/2022,101.83
19/09/2022,103.85
16/09/2022,103.63
15/09/2022,103.9
14/09/2022,105.87
13/09/2022,105.31
12/09/2022,111.87
09/09/2022,111.78
08/09/2022,109.42
07/09/2022,110.48
06/09/2022,107.48
02/09/2022,108.68
01/09/2022,110.55
31/08/2022,109.15
30/08/2022,109.91
29/08/2022,110.34
26/08/2022,111.3
25/08/2022,117.7
24/08/2022,114.7
23/08/2022,114.77
22/08/2022,115.07
19/08/2022,118.12
18/08/2022,120.86
17/08/2022,120.32
16/08/2022,122.51
15/08/2022,122.88
12/08/2022,122.65
11/08/2022,119.82
10/08/2022,120.65
09/08/2022,117.5
08/08/2022,118.14
05/08/2022,118.22
04/08/2022,118.87
03/08/2022,118.78
02/08/2022,115.9
01/08/2022,115.48
29/07/2022,116.64
28/07/2022,114.59
27/07/2022,113.6
26/07/2022,105.44
25/07/2022,108.21
22/07/2022,108.36
21/07/2022,115.04
20/07/2022,114.7
19/07/2022,114.62
18/07/2022,109.91
15/07/2022,112.77
14/07/2022,111.44
